
S,989,APDS9300_init OK
S,1578,MPU9250_init OK
S,1629,MPL3115A2_init OK
G,2570,51,50,85
A,2590,-2043,-183,-74
G,2590,46,33,47
A,2610,-2044,-176,-80
G,2610,29,-48,-17
A,2630,-2035,-178,-91
G,2630,17,10,42
A,2650,-2046,-178,-97
G,2650,-10,44,50
A,2670,-2035,-187,-75
G,2670,-9,-18,8
A,2690,-2032,-184,-78
G,2690,17,-14,27
A,2710,-2034,-174,-79
G,2710,12,-31,-141
A,2730,-2030,-174,-82
G,2730,8,62,16
A,2750,-2034,-176,-80
G,2750,-13,11,47
A,2770,-2041,-174,-88
G,2770,-8,-4,-105
A,2790,-2037,-173,-82
G,2790,-1,31,40
A,2810,-2044,-173,-88
G,2810,16,58,35
A,2830,-2047,-173,-84
G,2830,29,-68,-68
A,2850,-2052,-172,-83
G,2850,34,27,96
A,2870,-2037,-179,-83
G,2870,-7,40,-60
A,2890,-2042,-176,-74
G,2890,40,25,15
A,2910,-2037,-175,-89
G,2910,17,-41,-19
A,2930,-2041,-182,-91
G,2930,49,-49,-108
A,2950,-2039,-166,-89
G,2950,-5,20,61
A,2970,-2044,-176,-87
G,2970,16,28,8
A,2990,-2041,-180,-92
G,2990,20,-15,-81
A,3010,-2031,-181,-93
G,3010,-12,2,69
A,3030,-2044,-178,-86
G,3030,-3,65,85
A,3050,-2035,-177,-82
G,3050,9,59,10
A,3070,-2050,-178,-69
G,3070,25,-40,-19
A,3090,-2042,-178,-66
G,3090,17,31,13
A,3110,-2043,-183,-90
G,3110,29,23,75
A,3130,-2036,-177,-80
G,3130,14,2,-25
A,3150,-2036,-177,-93
G,3150,3,-49,-87
A,3170,-2037,-180,-84
G,3170,-5,14,78
A,3190,-2033,-171,-79
G,3190,8,62,101
A,3210,-2045,-173,-67
G,3210,34,6,-36
A,3230,-2038,-184,-86
G,3230,26,-7,10
A,3250,-2039,-186,-84
G,3250,-5,98,31
A,3270,-2041,-179,-87
G,3270,3,16,0
A,3290,-2033,-182,-84
G,3290,39,-18,-32
A,3310,-2043,-183,-84
G,3310,-4,11,-94
A,3330,-2036,-173,-84
G,3330,-17,64,86
A,3350,-2039,-182,-80
G,3350,28,30,56
A,3370,-2040,-178,-84
